replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
30800,0.0012348368,0.0019874868,5.1923137,2.5411658,0.23541257,3.7175229,2.0651536,2.5450873,0.24065438,3.726393,2.0597239,2.530582,0.23240703,3.7707472,2.0638537,7.748071,5.526115,20.085129,-4.563779,-0.048634537,1.7334759,3.4217463,-3.7812316,-0.36466727,0.241288,0.4884833,-1.0313432,0.0004566635761875659,5.754100322723389,30800,62,500.0,0.0,500,500,0.03330066352088546,0.07561863956229546,0.453368662777308,2.651090769134612e-08,16.65033176044273,13.580012064461345,37.57442511097426,2.327861135960661,0.022023577,0.7185672,0.9999495,-0.9999568,5,16.65033176044273,27500,55,500.0,0.0,500,500,0.047605721280529006,0.055665649305318504,0.42921147998429315,0.0008916026006609259,23.802860640264505,8.457718384383215,36.65997169942911,12.231686978947547,23.802860640264505,8.457718384383215,36.65997169942911,12.231686978947547,-0.040609475,0.6554289,0.9983952,-0.99858195,5,23.802860640264505,0.022363092750310898,75.36412005871534,80.0446910392493,0.02010425738990307,0.0058904848992824554,1037.4839864596725,1192.9411553926766,13570.790657581761,10
33300,0.0005590121,0.00080382917,3.955303,2.513349,0.19778791,3.1617053,2.0404956,2.5226927,0.20018926,3.159057,2.0288255,2.506937,0.19703709,3.1425042,2.039685,6.4871554,5.4618754,24.807808,-4.6466045,-0.14397371,1.6069818,3.0704222,-3.5835981,-0.34977764,0.24871255,0.51502454,-0.9724703,0.0005706068477593362,-3.830228567123413,33300,67,500.0,0.0,500,500,0.049262175253345364,0.06568682540697024,0.4273911963890542,9.599813780446374e-06,24.631087626672688,8.415220722218331,36.85635098530394,12.4209049960893,-0.008685312,0.6994466,0.9999781,-0.99957734,5,24.631087626672688,30000,60,500.0,0.0,500,500,0.03637171056025883,0.06570413396019976,0.4356092264176864,1.0534395183330818e-07,18.18585528012942,11.558268307828872,31.995197674280003,1.7245258540344912,18.18585528012942,11.558268307828872,31.995197674280003,1.7245258540344912,0.032345533,0.67386395,0.9987746,-0.99933076,5,18.18585528012942,0.025888392701745033,76.22592481598258,81.35288634896278,0.020245259627699852,0.005632108077406883,1004.9821953624487,1162.612772287801,14733.406319141388,11
35800,0.00076675165,0.0006636717,4.896851,2.5348551,0.221491,3.3046277,2.1150663,2.5300887,0.219269,3.3495002,2.1366696,2.5373182,0.21652593,3.3208785,2.146512,7.4451437,4.4043536,17.786884,-2.724473,0.08265507,1.6965271,4.3588457,-2.925731,-0.42136988,0.25653812,0.57014275,-1.177207,0.0005891933687962592,3.310513734817505,35800,72,500.0,0.0,500,500,0.06410660242232581,0.05790925711446153,0.30027771412846116,0.005694514799203995,32.05330121116292,15.811054197773887,62.58655816884358,16.621245971567845,0.06147177,0.7465863,0.9999101,-0.99984705,5,32.05330121116292,32500,65,500.0,0.0,500,500,0.0553685866896312,0.06300923277551897,0.3141145389394691,0.00032245152475181743,27.684293344815604,18.10787419332819,54.22767528211529,9.191788906432405,27.684293344815604,18.10787419332819,54.22767528211529,9.191788906432405,0.058243494,0.71508825,0.9997831,-0.9949189,5,27.684293344815604,0.023896880447864532,77.78754234686494,81.75836344435811,0.02039424329996109,0.0057143885642290115,1009.2758780363947,1168.8717893399298,15902.281508048996,12
38300,0.0016860649,0.0017991455,3.5638711,2.5774014,0.31220132,3.9589267,1.8919165,2.5823498,0.3073516,3.9132638,1.9199,2.5853028,0.3166929,3.938057,1.8994547,6.164037,4.8105063,16.555223,-7.538638,-0.20122954,1.5813204,2.978496,-3.0786383,-0.4106081,0.23241735,0.41477656,-1.1058209,0.0006321094697341323,-6.158365249633789,38300,77,500.0,0.0,500,500,0.08896029500687887,0.11646847510173076,1.0,8.450038031337925e-05,44.48014750343945,21.864974613377868,80.98206654761384,14.244194703389404,0.06781642,0.74050987,0.99998367,-0.9997581,5,44.48014750343945,35000,70,500.0,0.0,500,500,0.08726872307346893,0.07688260639812737,0.4314688815713838,0.0029124950157004806,43.63436153673448,27.667682262992596,93.81143362998132,12.688449133299992,43.63436153673448,27.667682262992596,93.81143362998132,12.688449133299992,0.0820423,0.79608357,0.999895,-0.99875754,5,43.63436153673448,0.027562502771615982,77.56104593724012,82.97768675908446,0.022111963480710983,0.0059104785323143005,1020.3788789827377,1180.973196623847,17083.258112220094,13
40800,0.001705876,0.002312569,4.0967283,2.5007076,0.3212315,3.6304488,1.783676,2.5242853,0.33535677,3.718888,1.7596375,2.5252824,0.32885462,3.674212,1.8356082,6.620171,4.080061,16.960787,-4.3274264,-0.21029201,1.577437,3.0596087,-3.1333432,-0.43410534,0.2342917,0.24496518,-1.2143476,0.0006982815684750676,-2.760129928588867,40800,82,500.0,0.0,500,500,0.1198824132389462,0.09267800352125533,0.4430624037037038,0.000642586701531093,59.94120661947314,14.27916839852155,74.47283461302628,33.66774882285311,0.045128353,0.738402,0.99996483,-0.9994212,5,59.94120661947314,37500,75,500.0,0.0,500,500,0.11078693000984183,0.04901671164122181,0.27471153277983207,0.008440703395072585,55.39346500492091,13.683987318025622,71.88220626448462,39.20869393178374,55.39346500492091,13.683987318025622,71.88220626448462,39.20869393178374,-0.020323398,0.72668016,0.9923983,-0.99376166,5,55.39346500492091,0.030876697972416878,76.16330823302269,83.83795866183937,0.023896655067801476,0.02047678828239441,1026.8038448113948,1186.8803618475795,18270.14292976819,14
43300,0.0034997314,0.0021160212,4.636167,2.6271486,0.39482927,4.0678525,1.9582521,2.60411,0.3874099,4.134326,1.9743043,2.5947309,0.36928403,3.8709948,1.9655639,7.273521,4.6337657,20.156422,-7.081236,-0.16029112,1.6231966,3.634888,-3.2120261,-0.4630755,0.2757072,0.41538072,-1.2266951,0.0007616138318553567,1.9639352560043335,43300,87,500.0,0.0,500,500,0.15433065259593695,0.09156659586131138,0.4984645516288451,0.008985051284697594,77.16532629796845,24.126170301023215,123.25817037595783,58.22174934933214,-0.05239171,0.70394814,0.99980134,-0.99986583,5,77.16532629796845,40000,80,500.0,0.0,500,500,0.13019410909058132,0.07649392860369716,0.4324205953773993,0.0003457539162139669,65.09705454529063,18.32265411443397,83.8909006922534,38.9295112922297,65.09705454529063,18.32265411443397,83.8909006922534,38.9295112922297,-0.0019472421,0.5874708,0.99865437,-0.99842805,5,65.09705454529063,0.023290779441595078,77.85326473228633,82.61510450951755,0.02113744616508484,0.005777176469564438,974.9701925627887,1135.4887672066689,19405.6353899315,15
45800,0.0009666342,0.0020409944,3.9188497,2.6958098,0.53371596,4.496246,1.8324429,2.7171545,0.5481206,4.56605,1.8547555,2.6985524,0.53527653,4.497812,1.8288896,6.6531553,4.7104883,18.90264,-4.7409854,-0.42196363,1.5458562,3.6185794,-3.3045425,-0.47787556,0.27452016,0.43068808,-1.1550032,0.0008733374415896833,-2.4430580139160156,45800,92,500.0,0.0,500,500,0.23106775987114334,0.09867838277980114,0.5138337649245258,0.007592762602972788,115.53387993557176,31.988119961322543,160.3349920825356,70.0757989545561,-0.1593664,0.6701537,0.9996259,-0.99990237,5,115.53387993557176,42500,85,500.0,0.0,500,500,0.1767510145923323,0.16781246909200118,1.0,0.0027125440097996506,88.37550729616615,33.84626725189532,128.0599241489163,38.117125254825034,88.37550729616615,33.84626725189532,128.0599241489163,38.117125254825034,0.117216155,0.63936615,0.9975766,-0.9989889,5,88.37550729616615,0.028013477101922035,77.25875309295952,83.80775828845799,0.0203695148229599,0.005892379209399223,995.0080256406218,1156.1288123931736,20561.768220717087,16
48300,0.002361166,0.0024657035,4.1322074,2.735011,0.59350044,4.630001,2.0291,2.7318249,0.5917129,4.531798,2.0466323,2.7496605,0.60510594,4.6668777,2.030068,6.891717,4.74191,22.126663,-6.9438252,-0.12405769,1.581883,3.370206,-3.047168,-0.51856136,0.29621163,0.47332585,-1.4917477,0.0009155875886790454,-0.7575483322143555,48300,97,500.0,0.0,500,500,0.193176526504791,0.11952875741469578,0.5391206346994628,4.692012726945391e-05,96.58826325239548,48.66908756902422,183.8292311105482,33.44951570805632,-0.09238776,0.64136267,0.99990344,-0.9996445,5,96.58826325239548,45000,90,500.0,0.0,500,500,0.15440749196556544,0.11407701344126625,0.4949983152904737,0.00976829521636328,77.20374598278275,39.02823463952929,152.8674309309666,42.761635609968984,77.20374598278275,39.02823463952929,152.8674309309666,42.761635609968984,0.0037843515,0.6861981,0.99660033,-0.9991918,5,77.20374598278275,0.0236867293715477,76.21873283572495,83.24633548408747,0.021505484357476234,0.004931006580591202,1044.293268835172,1203.808460375294,21765.58002675511,17
50800,0.0026172192,0.0036870453,4.6577024,2.9015126,0.68362576,5.944241,1.9507557,2.9412508,0.6976454,6.135182,1.978178,2.9081204,0.69580275,6.289223,1.9664943,7.6079254,4.815245,21.121801,-6.089249,-0.25970715,1.6043581,3.776175,-3.077029,-0.5717742,0.29816929,0.4503979,-1.7005095,0.0009899834403768182,4.205604076385498,50800,102,500.0,0.0,500,500,0.20609387975766955,0.1602764393235321,0.5319242120283392,0.009487007888833658,103.04693987883475,71.21438825609935,231.97060422502926,42.998459773345914,0.016015753,0.7143383,0.9995573,-0.9997201,5,103.04693987883475,47500,95,500.0,0.0,500,500,0.13870751624427916,0.10413661503553343,0.46350983744540464,0.007283284473118545,69.35375812213962,39.380520933511,142.41495593328492,29.245996699808366,69.35375812213962,39.380520933511,142.41495593328492,29.245996699808366,0.0011714391,0.68474984,0.99686635,-0.99975157,5,69.35375812213962,0.04324154742062092,78.78299555368721,85.45075302757323,0.020594745874404907,0.0058132074773311615,979.0892185065895,1143.3926165886223,22908.975858096033,18
53300,0.00266182,0.0035077196,4.534145,2.9179754,0.72279686,4.759964,1.8101978,2.9093316,0.71848315,4.7594113,1.8436388,2.894373,0.7122268,4.835348,1.8176714,7.4927764,4.9792657,22.855324,-4.1419435,-0.4357739,1.5869037,3.1771402,-3.9472802,-0.5769501,0.29401362,0.37447688,-1.4890891,0.0011372866574674845,3.3406999111175537,53300,107,500.0,0.0,500,500,0.15950278666417872,0.0955868424352228,0.5333011281358209,0.008207614729186099,79.75139333208936,22.93134304267918,106.31727735674116,37.23746149471373,-0.08402065,0.687297,0.99884784,-0.9998866,5,79.75139333208936,50000,100,500.0,0.0,500,500,0.2906976133889807,0.0888626790488515,0.4971788310614853,0.010990975141253825,145.34880669449035,36.714701980739186,216.66484328742908,117.25293411470976,145.34880669449035,36.714701980739186,216.66484328742908,117.25293411470976,-0.023902524,0.6638153,0.99369127,-0.9987288,5,145.34880669449035,0.028155507519841194,78.75055714137852,85.15820733457804,0.019605128094553947,0.005731983110308647,986.7987404093146,1150.760997503996,24059.74107173644,19
