replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
30800,0.0014737555,0.0017895659,2.0420256,2.3034043,0.59389466,3.713517,1.4111532,2.309094,0.5938334,3.738903,1.3989044,2.2971876,0.5889918,3.710879,1.3825903,4.37376,3.6692333,13.518977,-3.4630356,-0.48562145,1.6228871,2.827569,-2.939065,-0.5733566,0.23534656,0.04023025,-1.4630746,0.0011224140180274844,2.538827896118164,30800,62,500.0,0.0,500,500,0.2574662141602651,0.0501504250748357,0.511839923454944,0.0046985820449319225,128.73310708013264,13.276331329523627,143.1919478775192,105.75571866471937,-0.2525449,0.65068376,0.9983695,-0.9988819,5,128.73310708013264,27500,55,500.0,0.0,500,500,0.21160058879346802,0.055241832883049735,0.36344364813725005,0.004363795119570943,105.80029439673406,21.65126010478573,138.81175429908595,70.90226994676283,105.80029439673406,21.65126010478573,138.81175429908595,70.90226994676283,-0.22875293,0.5687916,0.994547,-0.9961616,5,105.80029439673406,0.017225930467247963,97.72261193208396,101.10131564736366,0.025817936286330223,0.008200941607356071,51.51895364187658,250.39412602968514,2728.613620530814,10
33300,0.0030526211,0.0030934887,1.6522429,2.469964,0.6368055,4.02692,1.4149115,2.4573278,0.6338914,4.005051,1.3924527,2.4519515,0.62860626,3.9962013,1.3993716,4.144802,3.3418162,10.36177,-5.088711,-0.35830185,1.5826313,2.9421751,-2.971802,-0.58329093,0.23961118,0.04054741,-1.7181058,0.0011897351359948516,0.9751107096672058,33300,67,500.0,0.0,500,500,0.1287378028249336,0.09470925239725145,1.0,0.005434937735882883,64.36890141246678,40.16299615971606,104.34043066569085,14.257242388497719,-0.13929833,0.70540076,0.9998722,-0.9997351,5,64.36890141246678,30000,60,500.0,0.0,500,500,0.2708078418853601,0.0993532880467992,0.4789237260081549,0.00434266743220007,135.40392094268003,43.58405313485561,214.15355988706202,83.71134092326045,135.40392094268003,43.58405313485561,214.15355988706202,83.71134092326045,-0.08738315,0.64982766,0.9992403,-0.9989293,5,135.40392094268003,0.018683163449168205,96.51917757466435,98.16250906139612,0.01941543072462082,0.005808953195810318,48.3539411611855,243.07953534461558,2971.6979364193976,11
35800,0.0015579177,0.001698548,1.7428503,2.6570332,0.7602835,4.080019,1.4146415,2.6695576,0.76739556,4.1286435,1.4096049,2.67308,0.7616161,4.110935,1.4263374,4.4285574,2.8731627,11.258286,-3.0536883,-0.27284205,1.562701,3.074485,-2.7376251,-0.71394503,0.30845788,0.089133695,-1.9788955,0.001280102413147688,2.854616165161133,35800,72,500.0,0.0,500,500,0.17038975893576094,0.07625360106379643,0.4550277248011741,0.0046417648622031965,85.19487946788048,32.96210614815511,118.81501713177501,24.751670439449192,-0.16722104,0.6607662,0.99984837,-0.9990989,5,85.19487946788048,32500,65,500.0,0.0,500,500,0.25442483211697803,0.08595550401772876,0.49582271836224967,0.004813314625978362,127.21241605848907,36.958558855926306,179.07861384742225,74.49645614611822,127.21241605848907,36.958558855926306,179.07861384742225,74.49645614611822,-0.18155149,0.5232152,0.9991313,-0.9940204,5,127.21241605848907,0.01708359085023403,96.36292090266943,101.5578140579164,0.01986720599234104,0.005907149985432625,50.91511473245919,248.87870763987303,3220.579762376845,12
38300,0.0014876786,0.0040245475,0.7123002,2.939033,0.7716919,4.9767895,1.311443,2.953832,0.77964234,4.9982514,1.3111197,2.9367862,0.7720416,4.923907,1.315146,3.6837058,3.1258497,12.24132,-2.341994,-0.42572215,1.4579643,2.822807,-3.0674262,-0.67489064,0.2499655,0.026045635,-1.5547483,0.0013508409028872848,-2.0897581577301025,38300,77,500.0,0.0,500,500,0.1740247040224087,0.04536237841841994,0.4018067405359712,0.004444325990860026,87.01235201120437,7.938930202664309,99.13934320485355,79.36722778542554,-0.17388391,0.6763831,0.99965566,-0.99920565,5,87.01235201120437,35000,70,500.0,0.0,500,500,0.19174231830084223,0.06253816625774922,0.39428188982027074,0.004572797796732845,95.87115915042115,24.931401799345124,116.72080690140346,47.64399135879505,95.87115915042115,24.931401799345124,116.72080690140346,47.64399135879505,-0.13982025,0.6789923,0.99904484,-0.9981595,5,95.87115915042115,0.02037670649588108,99.00791147723794,104.93873141892254,0.019717851653695107,0.005691839382052422,46.612533647567034,250.60496294125915,3471.187740139663,13
40800,0.005999131,0.0015512676,0.25311452,3.0871606,0.8632629,5.626498,1.3629411,3.0660408,0.85545284,5.609252,1.3641686,3.047627,0.85335857,5.604819,1.3771762,3.3510797,2.8140023,10.332591,-2.2452157,-0.31964427,1.4512796,3.0687895,-3.105024,-0.6607669,0.27689913,0.010709047,-1.7159189,0.001387273776344955,-4.2698822021484375,40800,82,500.0,0.0,500,500,0.15577919066004678,0.08194293656647274,1.0,0.0037775262062490116,77.8895953300234,17.22384835672337,97.61503818061153,53.222238191552215,-0.070571624,0.6479282,0.9994417,-0.9997498,5,77.8895953300234,37500,75,500.0,0.0,500,500,0.21157669701096884,0.08248553767606005,0.3969854143384705,0.003853140572246616,105.78834850548446,30.13848958026668,152.17105582392927,60.02439273444545,105.78834850548446,30.13848958026668,152.17105582392927,60.02439273444545,-0.21011606,0.6208295,0.9989379,-0.99540365,5,105.78834850548446,0.018195103853940964,96.02345359139144,100.82454434782267,0.020212840288877487,0.005963897332549095,50.90224342979491,247.79461321048439,3718.9851375073195,14
43300,0.001436196,0.00085230597,0.5705584,2.9509156,0.9067302,4.947745,1.3610939,2.9594662,0.90918994,4.968486,1.3307256,2.955604,0.9150059,4.95781,1.3326555,3.5624151,3.1190233,10.450471,-5.335109,-0.29561636,1.5434307,3.2444596,-3.254986,-0.64788175,0.25243977,-0.14119823,-1.6734293,0.0013888967223465443,-2.8787639141082764,43300,87,500.0,0.0,500,500,0.1938797665100043,0.0820557754520091,0.45019561056034635,0.003000085811786235,96.93988325500212,27.558864080551174,133.42549996026017,55.2016473175617,-0.28816745,0.64336884,0.9996822,-0.99971807,5,96.93988325500212,40000,80,500.0,0.0,500,500,0.16067643583807184,0.058340909878680534,0.4609502912282797,0.003565790094973585,80.33821791903597,16.458639762337768,108.85000138247776,63.97451292584856,80.33821791903597,16.458639762337768,108.85000138247776,63.97451292584856,-0.21376091,0.5565123,0.9977129,-0.9990273,5,80.33821791903597,0.01733418181538582,107.01671519689262,106.08185266144574,0.021189341321587563,0.007690340280532837,49.17028087936342,262.3150626011193,3981.3037766944617,15
45800,0.0019456514,0.0029066752,1.0208755,3.2296653,0.9007115,4.7389007,1.352973,3.231319,0.8935992,4.621479,1.3661622,3.2210727,0.8884666,4.678278,1.3710197,4.277172,3.0366156,12.8798275,-2.3273134,-0.43013152,1.5069559,3.0164573,-3.2864838,-0.7107267,0.2834164,0.021068335,-1.6691245,0.0013731300132349133,1.8268101215362549,45800,92,500.0,0.0,500,500,0.2280765512998205,0.07302237100225452,0.5081985337289255,0.004809218328910742,114.03827564991029,25.908999592108344,158.62256021271165,87.38112044014171,-0.10920886,0.67032814,0.9994788,-0.9990415,5,114.03827564991029,42500,85,500.0,0.0,500,500,0.1891276142743538,0.09273250127288823,0.5244285153178093,0.00028795653988497903,94.56380713717695,25.09548932868403,131.3345067288097,52.404463330923825,94.56380713717695,25.09548932868403,131.3345067288097,52.404463330923825,-0.059026036,0.5993003,0.99862766,-0.99948275,5,94.56380713717695,0.023418350145220757,100.7071786262095,100.19219261221588,0.019199199974536896,0.005746005102992058,49.39344849437475,250.34118328802288,4231.6483707185835,16
48300,0.0015260644,0.0023394758,0.33210933,3.4071596,1.0652176,5.6925364,1.3556954,3.4135644,1.0741295,5.7290416,1.336411,3.4084225,1.0691792,5.6738,1.3388008,3.7763586,2.910994,10.497192,-4.3670244,-0.38730222,1.4550292,3.2778165,-3.1152313,-0.72102165,0.28889692,0.031659186,-1.9634206,0.0014579741982743144,-1.4606077671051025,48300,97,500.0,0.0,500,500,0.16783251738339006,0.08491173171511655,0.47971518816652386,0.0045055291779221044,83.91625869169509,16.04237299916801,107.11988734463553,69.65119945534626,-0.12463098,0.61121523,0.99999726,-0.999072,5,83.91625869169509,45000,90,500.0,0.0,500,500,0.21685373649166312,0.1113159838239895,1.0,0.004710212359461488,108.42686824583157,29.714667342580356,147.49447347739263,56.742075696652364,108.42686824583157,29.714667342580356,147.49447347739263,56.742075696652364,-0.18187,0.5075013,0.99811816,-0.9959283,5,108.42686824583157,0.0187007337808609,107.17434768937528,98.99490954726934,0.02047203667461872,0.005958430469036102,50.29508486390114,256.5094733014703,4488.160759041086,17
50800,0.0020890739,0.0032506164,0.20164663,3.524015,0.9648944,6.451549,1.4991927,3.5095987,0.9488649,6.430021,1.4833335,3.519433,0.96053153,6.574735,1.5279237,3.7458763,2.962923,13.29997,-4.304446,-0.22711548,1.4984858,3.8538826,-3.3272252,-0.7319338,0.30773535,0.1736637,-1.8785415,0.0014619416324421763,-1.658848524093628,50800,102,500.0,0.0,500,500,0.20414523021386358,0.07581530508286166,0.472205282367417,0.004026381171613271,102.07261510693186,26.758424157721002,136.80795072162417,62.68261413148033,-0.14896712,0.6409028,0.9992304,-0.999245,5,102.07261510693186,47500,95,500.0,0.0,500,500,0.10195033141068519,0.10203895548609056,0.43921136381081055,0.00334452669138146,50.97516570534263,18.1230982838724,85.57007124726609,34.355696933100255,50.97516570534263,18.1230982838724,85.57007124726609,34.355696933100255,-0.17948268,0.48855692,0.99971354,-0.9969533,5,50.97516570534263,0.016112804412841797,101.83646748401225,105.10709779709578,0.018087634816765785,0.004711870104074478,49.11575230024755,256.09822989068925,4744.2622322198,18
53300,0.00291129,0.0030341696,-0.085414544,3.7732248,1.0347462,6.3121667,1.4492705,3.7666266,1.0276276,6.3536353,1.474438,3.7514083,1.0376971,6.4210687,1.4510945,3.7109244,3.0557976,12.095512,-5.391745,-0.39758116,1.4441125,2.9557307,-3.3290875,-0.7476851,0.29005963,0.14862123,-1.8100989,0.00149397028144449,-1.8806235790252686,53300,107,500.0,0.0,500,500,0.23077569320637034,0.1142925227681598,0.4946889203635041,0.005617903962449963,115.38784660318518,48.34441997545697,179.06905944612234,41.113287451049075,-0.17332344,0.6003201,0.9998991,-0.99960613,5,115.38784660318518,50000,100,500.0,0.0,500,500,0.2780380169244483,0.11986295974445345,0.46757814682034826,0.004435382966007268,139.01900846222406,50.74365011503221,198.27933464955103,52.09916189917202,139.01900846222406,50.74365011503221,198.27933464955103,52.09916189917202,-0.108001575,0.5388111,0.9979463,-0.9986204,5,139.01900846222406,0.01857738383114338,104.95780904591084,105.56856928020716,0.02047371119260788,0.006770538166165352,50.80153368227184,261.37373364157975,5005.638875003904,19
