replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.275423,22.307999,-4.6681905,-0.002393319,0.0015566546,0.0024382076,-0.006252601,-0.005851815,0.0017715673,-0.0017140468,-0.009950544,4.683711,0.5620736,5.9730544,3.2073395,-4.6741037,0.60216266,-2.881649,-6.7588425,0.00015314997,0.001165248,0.0032331957,-0.0024201057,-0.00027623138,0.0010930658,0.0021450415,-0.0028973743,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0034243644757818415,0.006810364359229652,0.056291355697179135,6.448857984360974e-06,1.712182237890922,1.2247405426318392,3.3045330664188697,0.3420242047887646,0.000552884,0.6260438,0.99941695,-0.9988426,5,1.712182237890922,2500,5,500.0,0.0,500,500,0.012356032166637396,0.003419066520732135,0.01719446432647118,0.0075758009163901085,6.178016083318697,1.7066596892772337,8.392929363408863,3.92930252044885,6.178016083318697,1.7066596892772337,8.392929363408863,3.92930252044885,0.00023528578,0.0009821381,0.0018454161,-0.0010507886,5,6.178016083318697,0.02269352599978447,77.17352453246713,76.49607344344258,0.037120040506124496,0.009639564901590347,1029.4147320147604,1183.1537831220776,1292.189746281132,0
8300,0.0149426395,0.015141949,-7.674424,2.8906133,0.03565078,2.9641693,2.801728,2.8934631,0.03638008,2.9743304,2.8051798,2.8901072,0.11843716,3.453962,2.5690484,-4.7914476,0.2815259,-4.184302,-5.6471186,-0.0010766818,0.012614467,0.022398565,-0.023385104,-0.12456472,0.008705466,-0.101839416,-0.15435176,0.36741510033607483,-11.79455280303955,8300,17,500.0,0.0,500,500,0.016401790109435203,0.03083731507142777,0.23088550898475968,2.722522923005578e-06,8.200895054717602,7.470075938178395,19.958240463944982,0.45227393380257463,0.0005237456,0.58925277,0.997936,-0.9958369,5,8.200895054717602,5000,10,500.0,0.0,500,500,0.04546323272864499,0.021270113422561646,0.09110809903625543,0.007452739032948654,22.731616364322498,3.8416165112392444,29.630733234417406,19.043021209878862,22.731616364322498,3.8416165112392444,29.630733234417406,19.043021209878862,-0.0007785303,0.01284281,0.020550765,-0.022368612,5,22.731616364322498,0.022669097408652306,77.82903613895178,75.03193945996463,0.02300741896033287,0.005788534879684448,1079.4086206834763,1232.3210613336414,2524.517988340929,1
10800,0.0016977454,0.0018376894,-7.430181,2.666811,0.034332138,2.7956352,2.5602374,2.6669388,0.034548484,2.8051867,2.5527823,2.661706,0.047110133,2.8448272,2.5760126,-4.768482,0.29377693,-4.1742153,-5.728579,-0.00341367,0.009700305,0.013535965,-0.021258846,-0.12087179,0.007193277,-0.10600771,-0.13748342,0.13515745103359222,-23.540681838989258,10800,22,500.0,0.0,500,500,0.007794743121988913,0.013662748175048253,0.12301568577646883,2.11825257556697e-06,3.8973715609944577,2.0586971223631743,6.00311835774605,0.2733927932207175,-0.00516518,0.59213096,0.99843544,-0.9983889,5,3.8973715609944577,7500,15,500.0,0.0,500,500,0.014565524890852074,0.004421574958856904,0.02401420619842821,0.003909955158399795,7.282762445426042,1.4702073395310045,9.372175214151005,4.820245868188154,7.282762445426042,1.4702073395310045,9.372175214151005,4.820245868188154,-0.0031926068,0.0098357275,0.011178236,-0.018851481,5,7.282762445426042,0.019612034782767296,74.46277844719589,75.1291719302535,0.02290196903049946,0.005659157410264015,1074.157743645832,1223.7978671845049,3748.3203827049583,2
13300,0.00039590802,0.00037175033,-7.3424253,2.6160882,0.039161593,2.8496342,2.5165455,2.6150064,0.040733047,2.8369896,2.5080082,2.6153936,0.041858118,2.8274107,2.5100968,-4.7305794,0.29439262,-3.987385,-5.748124,-0.0027647524,0.015150275,0.02331863,-0.030199584,-0.110928915,0.006399761,-0.089468405,-0.124594636,0.04972680285573006,-35.19420623779297,13300,27,500.0,0.0,500,500,0.005246932371301642,0.008261966316706311,0.085493285612219,7.083927358447145e-05,2.6234661856508223,1.4227190019326073,4.5988135614204015,1.075642202334227,-0.00404299,0.5947809,0.9990766,-0.998516,5,2.6234661856508223,10000,20,500.0,0.0,500,500,0.016762361484474953,0.003465277875080019,0.025090281705152248,0.010336448856940331,8.381180742237477,1.2876341467290326,10.253857379492437,6.431551952040238,8.381180742237477,1.2876341467290326,10.253857379492437,6.431551952040238,-0.0035643806,0.016069734,0.01950849,-0.029127028,5,8.381180742237477,0.017978927120566368,74.93481579050422,74.25590018182993,0.02727525122463703,0.006997959688305855,1106.4905493427068,1255.7335174530745,5004.058451684192,3
15800,0.0006145637,0.0005653981,-7.3379197,2.6078386,0.046257164,2.8636985,2.488374,2.6070602,0.047089484,2.8533893,2.4906855,2.6084743,0.050163504,2.85608,2.4784865,-4.7330327,0.36871487,-3.6647635,-5.8787937,-0.012723608,0.033546265,0.07850543,-0.10866223,-0.08138967,0.010485392,-0.0499755,-0.105881,0.0183030404150486,-46.92848587036133,15800,32,500.0,0.0,500,500,0.016940069311832846,0.03694945224689027,0.3997122445873061,2.6050895916501163e-06,8.470034655916418,5.3510721088788396,18.00599016040553,2.1269066878499703,-0.004655009,0.60347545,0.9990015,-0.9974078,5,8.470034655916418,12500,25,500.0,0.0,500,500,0.0027959205464262804,0.005323064774801631,0.02225044430520838,5.29445983351214e-09,1.397960273213141,0.3205583325303451,1.9272190557413837,0.9786904822813676,1.397960273213141,0.3205583325303451,1.9272190557413837,0.9786904822813676,-0.016560534,0.036536995,0.04225044,-0.10473871,5,1.397960273213141,0.0196518711745739,73.06272634118795,76.96592156589031,0.023112710565328598,0.007124030962586403,1094.1808123458177,1244.2593488655984,6248.321985414252,4
18300,0.000450164,0.00045794816,-7.285941,2.579041,0.061242253,2.927218,2.4647772,2.5795593,0.0614268,2.927398,2.4408815,2.5758667,0.062068917,2.8784776,2.4464912,-4.708899,0.835186,-1.4903239,-7.2517705,-0.048828032,0.1457128,0.39985055,-0.42289093,-0.0010671758,0.024962328,0.088570505,-0.073258504,0.00676110340282321,-58.492733001708984,18300,37,500.0,0.0,500,500,0.019930507958768624,0.03859869754516639,0.3155759054753,1.32224255505125e-06,9.965253979384313,10.257670138923947,28.426418019350486,1.1732302509057309,-0.016285555,0.629415,0.9997993,-0.9985246,5,9.965253979384313,15000,30,500.0,0.0,500,500,0.002851308699143269,0.004201987920562369,0.01720463648187061,2.317269882152257e-09,1.425654349571635,0.18447314656991837,1.757601350863262,1.2464916354705147,1.425654349571635,0.18447314656991837,1.757601350863262,1.2464916354705147,-0.022257272,0.07717077,0.32838303,-0.46858174,5,1.425654349571635,0.019269311800599098,77.74492655135691,77.86711028777063,0.023238765075802803,0.009849920868873596,1069.19886389561,1224.8632587324828,7473.190682651475,5
20800,0.00032650042,0.00036201582,-5.669437,2.556869,0.082622156,2.9856493,2.2956693,2.5569675,0.08246331,2.9864583,2.3192728,2.5562606,0.08468438,2.9883325,2.2694116,-3.110162,1.9220523,2.9748049,-7.2814655,-0.13491353,0.5461045,1.7329103,-1.8583298,0.018405702,0.10656452,0.29380783,-0.35734466,0.0025803856551647186,-60.24568176269531,20800,42,500.0,0.0,500,500,0.006022624990753547,0.018480092657492623,0.1781847384944528,4.919048871935653e-10,3.0113124953767727,2.816255676649503,8.580906056290255,1.0234385121215375,-0.02629797,0.6657559,0.9999192,-0.9997562,5,3.0113124953767727,17500,35,500.0,0.0,500,500,0.003779440368023627,0.011866679270922413,0.13032176088441316,4.169408028707898e-10,1.8897201840118119,1.300351605716484,4.035724902738904,0.5227253723165826,1.8897201840118119,1.300351605716484,4.035724902738904,0.5227253723165826,-0.06411918,0.3797056,0.9116666,-0.9780727,5,1.8897201840118119,0.04857112839818001,80.14721336401999,75.9410930108279,0.025586582720279694,0.007284346967935562,1077.1613536495715,1233.3311020825058,8706.526855340227,6
23300,0.00032661215,0.000339532,-2.252729,2.5138605,0.08002601,2.7104614,2.1925046,2.5177,0.077191584,2.7057176,2.2318652,2.521086,0.075884126,2.7331777,2.257791,0.27421394,3.7981596,12.289324,-8.671942,-0.11074625,1.0335622,4.2492747,-2.6509316,-0.03273359,0.24909672,0.5872068,-0.93419665,0.0011325039668008685,-45.618350982666016,23300,47,500.0,0.0,500,500,0.006951482443248842,0.02229197455794577,0.2008985970315826,6.1369811948313524e-09,3.4757412216244203,2.5311440533583363,7.958985198173044,0.0943430222490676,-0.022999993,0.7101997,0.9999571,-0.9999111,5,3.4757412216244203,20000,40,500.0,0.0,500,500,0.006500102678682166,0.022297326323558412,0.3217157091045608,7.864501839883864e-09,3.250051339341084,1.9849385331149454,6.18132020724529,0.24866713814738237,3.250051339341084,1.9849385331149454,6.18132020724529,0.24866713814738237,-0.06328994,0.59616095,0.99973345,-0.99731123,5,3.250051339341084,0.022600259631872177,77.74100152216852,76.6516580954194,0.020428068935871124,0.006045788526535034,1091.430961439386,1245.8726951740682,9952.406443148851,7
25800,0.0004272161,0.00034664985,1.3749194,2.5072331,0.10043731,2.9897711,2.0850155,2.5050938,0.09733948,2.9800735,2.0779338,2.5166025,0.09748259,3.0653622,2.086209,3.8923237,5.4829745,21.144588,-8.65358,-0.2402606,1.4220635,2.7714822,-4.608528,-0.21619712,0.27508932,0.47842336,-1.0659393,0.000655799696687609,-22.77690315246582,25800,52,500.0,0.0,500,500,0.0019492595407599633,0.008776892804930346,0.117931546938757,9.539582704023688e-09,0.9746297703799819,1.2977369246202626,3.527910393600747,0.04889948781720907,0.0018014169,0.7023049,0.9999613,-0.9999858,5,0.9746297703799819,22500,45,500.0,0.0,500,500,0.0017957604312831591,0.006030607889408314,0.07455533177110608,8.08994106272899e-10,0.8978802156415794,1.0510318125855933,2.8711063976366167,0.05632271587326844,0.8978802156415794,1.0510318125855933,2.8711063976366167,0.05632271587326844,-0.006828184,0.62970215,0.9997112,-0.999818,5,0.8978802156415794,0.021728456020355225,75.96073880977929,74.77585457637906,0.02349848300218582,0.006025176495313644,1087.0627698935568,1237.850615395233,11190.261178363115,8
28300,0.0014689253,0.0017591746,4.139239,2.5506892,0.13564354,3.3448968,2.2528996,2.5536494,0.13942453,3.3360448,2.2388892,2.5279355,0.1377075,3.435757,2.220804,6.699581,6.1425476,25.812828,-5.9177837,-0.17397557,1.6676775,3.9523456,-3.4684603,-0.27214092,0.29214367,0.8280069,-0.9828523,0.000489099184051156,-2.290041446685791,28300,57,500.0,0.0,500,500,0.03628837732624662,0.05816735797305763,0.3657791774367922,3.24033573637392e-06,18.144188663123312,9.84650712850418,27.51978307747064,6.039609099248144,-0.11142289,0.742062,0.99996144,-0.99995893,5,18.144188663123312,25000,50,500.0,0.0,500,500,0.019648788627498116,0.028977690727102698,0.16188157938241213,2.9626013494284582e-08,9.824394313749059,9.545389487837586,28.20829704095331,1.5678120183707709,9.824394313749059,9.545389487837586,28.20829704095331,1.5678120183707709,-0.039091565,0.6781479,0.9999954,-0.9998105,5,9.824394313749059,0.022006100043654442,75.08385220915079,75.52837339788675,0.022007672116160393,0.005876475945115089,1035.1690384764224,1185.831154331565,12376.09671317041,9
